"tipo_elem";distrito;id;"cod_cent";"nombre";utm_x;utm_y;longitud;latitud
"URB";9;4480;"30006";"AV. VALLADOLID, 25 S-N(TRAFICO- AV.VALLADOLID. 11)";438266.405391592;4475386.149556774;-3.72776541331468;40.42682072808298
"URB";16;6225;"55005";"Ctra. Canillas - Javier Quinto-Torquemada";445709.091417918;4479593.50488661;-3.64039021204721;40.46524186760581
"URB";9;4484;"30012";"(AFOROS) AV. VALLADOLID N-S (AV.MARQUES MONISTROL-LOECHES)";437833.084976468;4476011.920713974;-3.73293454686425;40.43242565342442
"URB";9;3470;"30013";"LOECHES O-E(ANICETO MARINAS-AV. VALLADOLID)";437840.886928654;4475892.897422418;-3.73283093078881;40.43135402827841
"URB";9;4321;"30014";"CUESTA SAN VICENTE E-O(Po DEL REY-GTA. SAN VICENTE)";439048.794951899;4474664.158085716;-3.71847345995203;40.42037440691004
"URB";16;6235;"55015";"Av. de los Andes - Abelias-Pl. Yucatán";446854.118600379;4478124.141379938;-3.62676175517654;40.45207907411118
"URB";16;6236;"55016";"Av. de los Andes - Abelias-Gta. Mar Caribe";447072.970227439;4478308.858113964;-3.62419633032799;40.45375707039906
"URB";9;4322;"30015";"Po DEL REY N-S(IRUN-CUESTA SAN VICENTE)";439079.549892646;4474742.968348403;-3.71811850693261;40.42108661636166
"URB";16;6228;"55008";"Ctra. Canillas - Emigrantes-Torquemada";445928.828396617;4479594.783891011;-3.63779855891915;40.46526771975105
"URB";16;6231;"55011";"Silvano - Algabeño-Av. Machupichu";446011.88699744;4479304.425953669;-3.6367941927796;40.46265742580145
"URB";16;6232;"55012";"Silvano - Av. Machupichu-José Domingo Rus";446246.96158922;4479300.822563129;-3.63402132504541;40.46264020579288
"URB";16;6233;"55013";"Silvano - José Domingo Rus-Av. Machupichu";446243.55029903;4479309.521136572;-3.63406229596819;40.46271834643387
"URB";16;6234;"55014";"Puente Felipe Juvara - A2-Pl. Yucatán";446891.501201907;4477888.494025357;-3.62630120974126;40.44995862035294
"URB";16;6237;"55017";"Av. de los Andes - Mitra-Gta. Mar Caribe";447372.362191027;4478478.820534088;-3.62067972922617;40.45530719908234
"URB";1;4323;"30016";"Po VIRGEN DEL PUERTO S-N(CDAD PLASENCIA-GTA SAN VICENTE)";438899.364025367;4474446.587303606;-3.72021387053287;40.41840347574149
"URB";9;4489;"30019";"MARTIN FIERRO N-S(JUAN HERRERA-OBISPO TREJO)";437927.876097345;4476502.51919724;-3.73186498401247;40.43685223414499
"URB";9;4490;"30020";"MARTIN FIERRO S-N(AV. SENDECA -OBISPO TREJO)";437971.525691907;4476375.73369451;-3.73133799506932;40.43571335816682
"URB";15;6249;"55034";"Asura - Carril del Conde-Moscatelar";444483.879534779;4478750.606125718;-3.65476762255109;40.45756765230281
"URB";16;6250;"55035";"Liceo - Liceo-Silvano";445452.69286526;4478694.37279625;-3.64333711237367;40.45712522940331
"URB";16;3658;"55036";"Silvano - Mosqueda-Haendel";446913.154077468;4479287.219853655;-3.62616284233121;40.4625604970009
"URB";16;11010;"55037";"Av. Machupichu - Av. Papa Negro-Machaquito";447022.728909642;4478749.857730976;-3.62482562045248;40.45772663856253
"URB";16;6254;"55040";"Av. Machupichu - Silvano-Pl. Manuel Rodrigo";446250.163260594;4479104.327442802;-3.63396692171551;40.46087028089214
"URB";16;6255;"55041";"Av. Machupichu - Florencio Castillo-Machaquito";446880.546261903;4478900.758498808;-3.62651508704122;40.45907695902945
"URB";16;3784;"55042";"Av. Machupichu - Av. Piceas-Av. Papa Negro";447095.62265463;4478617.869470414;-3.6239549439771;40.45654225897724
"URB";16;3785;"55043";"Av. Machupichu - Av. Papa Negro-Machaquito";447019.074912256;4478747.080692962;-3.62486848229031;40.45770138852433
"URB";9;7073;"30027";"MARTIN FIERRO S-N(OBISPO TREJO - JUUN HERRERA)";437931.312588682;4476509.230478566;-3.73182512453573;40.43691294843324
"URB";9;11428;"30028";"RIBERA DEL MANZANARES S-N (FONDO DE SACO)";438374.338442886;4475079.559707109;-3.72646339249716;40.42406684233361
"URB";16;6263;"55051";"Machaquito - Machaquito-Av. Machupichu";446900.960635349;4478739.452653;-3.6262608306478;40.45762513231014
"URB";16;6265;"55054";"Av. de los Andes - Mahonia-Mitra";447551.557261431;4478650.662509181;-3.61858065307274;40.45686657655411
"URB";16;6267;"55056";"Av. de los Andes - Gta. Mar Caribe-Abelias";447100.515049862;4478349.691200262;-3.62387490020366;40.45412667126581
"URB";16;6268;"55057";"Av. de los Andes - Pl. Yucatan-Abelias";446882.696777696;4478143.952440256;-3.62642640249103;40.45225936997392
"URB";9;10000;"30403";"(TACTICO) SALIDA POLICIA";438117.261482987;4475620.38955953;-3.72954630804408;40.42891977579561
"URB";9;10467;"30404";"(TACTICO) Loeches O-E(Aniceto Marinas-Av. Valladolid)";437876.200372604;4475915.524155013;-3.7324168432451;40.431560496919
"URB";6;4575;"32043";"AV. ASTURIAS O-E(Po DIRECCION-ROSARIO ROMERO)";440743.905885461;4480367.727382783;-3.69902557170352;40.47187707660515
"URB";16;10150;"55076";"Plaza Andrés Jáuregui - Ramón Power-Silvano";446613.532372736;4479361.262577601;-3.62970292688021;40.46320831592865
"URB";16;10147;"55077";"Silvano - Haendel-Francisco Mosqueda";446839.806560882;4479296.719219455;-3.62702872771928;40.46264138283885
"URB";16;10169;"55080";"Emigrantes - Torquemada-Tribaldos";445971.724487072;4479867.103024483;-3.6373157943888;40.46772370170959
"URB";16;10752;"55083";"Torquemada - Valdespina-Ctra. Canillas";445758.35602257;4479660.600894143;-3.63981487974151;40.46584952072266
"URB";16;10346;"55084";"Pegaso - Agustín Calvo-Ctra. Canillas";444956.354918414;4479430.330576204;-3.64925444899784;40.46372238175594
"URB";16;11001;"55095";"Av. Machupichu - Pl. Manuel Rodrigo - Antonio Larrazabal";446489.668389926;4479082.622689697;-3.6311403470381;40.46069021105288
"URB";6;4576;"32044";"AV. ASTURIAS O-E(SINESIO DELGADO -Po DIRECCION)";440618.162118038;4480473.119097218;-3.70051869269441;40.47281750622608
"URB";6;3738;"32046";"AV. ASTURIAS E-O(CANAVERAL-MONTOYA)";441038.47001343;4480096.277536632;-3.69552570470944;40.46945270912435
"URB";6;4577;"32047";"AV. ASTURIAS E-O(SOROLLA -Po DIRECCION)";440894.446272494;4480236.10188888;-3.69723755470007;40.47070206765137
"URB";6;4578;"32048";"(AFOROS) AV. ASTURIAS O-E(MAGNOLIAS -CEDROS)";441277.629612023;4479885.542538667;-3.69268520608576;40.46757126256593
"URB";6;4579;"32049";"AV. ASTURIAS O-E(BASCONES -CANAVERAL)";441108.968590737;4480014.334397914;-3.69468653651591;40.46871953296322
"URB";6;4580;"32050";"(TACTICO) MAGNOLIAS S-N (DELFIN-AV. ASTURIAS)";441242.681843676;4479871.556224693;-3.69309612379032;40.46744279699674
"URB";16;9969;"57024";"Luis de la Mata - Av Logroño-Galatea";448082.782494641;4477960.054286961;-3.6122592139199;40.45067853455281
"URB";21;6348;"57402";"Av. Logroño  - Av. Logroño-San Severo";450450.730000131;4479575.765160501;-3.58446156523939;40.46537838287674
"URB";21;6350;"57404";"Basella - Burriana-Av. Logroño";450155.896641882;4479346.168620347;-3.5879210832313;40.4632924025149
